REGION,FUEL,YEAR,VALUE
REGION1,IENG,2051,45,9300301144024
REGION1,IENG,2052,45,9300301144024
REGION1,IENG,2053,45,9300301144024
REGION1,IENG,2054,45,9300301144024
REGION1,IENG,2055,45,9300301144024
REGION1,IENG,2056,45,9300301144024
REGION1,IENG,2057,45,9300301144024
REGION1,IENG,2058,45,9300301144024
REGION1,IENG,2059,45,9300301144024
REGION1,IENG,2060,45,9300301144024
REGION1,ITNG,2015,1469,53792862108
REGION1,ITNG,2016,1450,78062567726
REGION1,ITNG,2017,1432,02332273344
REGION1,ITNG,2018,1413,26601978962
REGION1,ITNG,2019,1394,5087168458
REGION1,ITNG,2020,1375,75141390199
REGION1,ITNG,2021,1389,23327360144
REGION1,ITNG,2022,1402,7151333009
REGION1,ITNG,2023,1416,19699300035
REGION1,ITNG,2024,1429,67885269981
REGION1,ITNG,2025,1443,16071239926
REGION1,ITNG,2026,1403,40018773228
REGION1,ITNG,2027,1363,6396630653
REGION1,ITNG,2028,1323,87913839832
REGION1,ITNG,2029,1284,11861373134
REGION1,ITNG,2030,1244,35808906436
REGION1,ITNG,2031,1211,50900822329
REGION1,ITNG,2032,1178,65992738222
REGION1,ITNG,2033,1145,81084654115
REGION1,ITNG,2034,1112,96176570008
REGION1,ITNG,2035,1080,11268485901
REGION1,ITNG,2036,1070,60445296293
REGION1,ITNG,2037,1061,09622106686
REGION1,ITNG,2038,1051,58798917078
REGION1,ITNG,2039,1042,07975727471
REGION1,ITNG,2040,1032,57152537863
REGION1,ITNG,2041,1032,50751288026
REGION1,ITNG,2042,1032,44350038188
REGION1,ITNG,2043,1032,37948788351
REGION1,ITNG,2044,1032,31547538513
REGION1,ITNG,2045,1032,25146288676
REGION1,ITNG,2046,1029,51127932469
REGION1,ITNG,2047,1026,77109576261
REGION1,ITNG,2048,1024,03091220054
REGION1,ITNG,2049,1021,29072863847
REGION1,ITNG,2050,1018,55054507639
REGION1,ITNG,2051,1018,55054507639
REGION1,ITNG,2052,1018,55054507639
REGION1,ITNG,2053,1018,55054507639
REGION1,ITNG,2054,1018,55054507639
REGION1,ITNG,2055,1018,55054507639
REGION1,ITNG,2056,1018,55054507639
REGION1,ITNG,2057,1018,55054507639
REGION1,ITNG,2058,1018,55054507639
